Industry,Sub-sector,Sub level,Description
Real estate and construction,Construction,Construction & engineering,Companies engaged in primarily non-residential construction. Includes civil engineering companies and large-scale contractors. Excludes companies classified in the homebuilding sub-industry.
Real estate and construction,Construction,Construction/homebuilding,Residential construction companies. Includes manufacturers of prefabricated houses and semi-fixed manufactured homes.
Real estate and construction,Real estate,Diversified real estate activities,"Companies engaged in a diverse spectrum of real estate activities including real estate development & sales, real estate management, or real estate services, but with no dominant business line."
Real estate and construction,Construction,Energy efficiency (cleantech),Companies engaged in providing energy efficient solutions for buildings
Real estate and construction,Real estate,Real estate development,Companies that develop real estate and sell the properties after development. Excludes companies classified in the homebuilding sub-industry.
Real estate and construction,Real estate,Real estate operating companies,Companies engaged in operating real estate properties for the purpose of leasing & management.
Real estate and construction,Real estate,REITS,A company or trust with significantly diversified operations across two or more property types.
Services,Other,Advertising & marketing agencies,"Companies providing advertising, marketing or public relations services."
Services,Professional services,Advertising services ,No description
Services,Professional services,"Architectural, engineering and technical services ",No description
Services,Other,Diversified support services,"Companies primarily providing labour oriented support services to businesses and governments.  Includes commercial cleaning services, dining & catering services, equipment repair services, industrial maintenance services, industrial auctioneers, storage & warehousing, transaction services, uniform rental services, and other business support services."
Services,Professional services,Legal and accounting services ,No description
Services,Professional services,Management and related consulting services ,Including companies providing corporate head office management services and management advice and related consulting services 
Services,Professional services,Professional,"Companies providing business support services relating to human capital management. Includes employment agencies, employee training, payroll & benefit support services, retirement support services and temporary agencies."
Services,Professional services,Research services ,"Market Research and Statistical Services, scientific research services"
Services,Other,Specialised consumer services,"Companies providing consumer services not classified elsewhere.  Includes residential services, home security, legal services, personal services, renovation & interior design services, consumer auctions and wedding & funeral services."
"Technology, media and telecommunications",Media,"B2B publishing, events and conferences","Publishing: publishers of newspapers, magazines and books, and providers of information in print or electronic formats."
"Technology, media and telecommunications",Media,Consumer publishing,"Publishing: publishers of newspapers, magazines and books, and providers of information in print or electronic formats."
"Technology, media and telecommunications",IT services,Data processing & outsourced services,No description
"Technology, media and telecommunications",Telecoms,Diversified telecommunication services,Providers of communications and high-density data transmission services primarily through a high bandwidth or fibre-optic cable network.
"Technology, media and telecommunications",Software & infrastructure,Electronic manufacturing services,No description
"Technology, media and telecommunications",Media,"Entertainment, other","Movies & entertainment: Companies that engage in producing and selling entertainment products and services, including companies engaged in the production, distribution and screening of movies and television shows, producers and distributors of music, entertainment theatres and professional sports teams."
"Technology, media and telecommunications",Software & infrastructure,Internet software & services,"Companies developing and marketing internet software or providing internet services including online databases and interactive services, web address registration services, database construction and internet design services. Excludes companies classified in the internet retail sub-industry."
"Technology, media and telecommunications",IT services,IT consulting & other services,No description
"Technology, media and telecommunications",Media,Media,"Broadcasting, including cable & satellite"
"Technology, media and telecommunications",Media,Music,"Movies & entertainment: Companies that engage in producing and selling entertainment products and services, including companies engaged in the production, distribution and screening of movies and television shows, producers and distributors of music, entertainment theatres and professional sports teams."
"Technology, media and telecommunications",Software & infrastructure,Semiconductor equipment,No description
"Technology, media and telecommunications",Software & infrastructure,Semiconductors,No description
"Technology, media and telecommunications",Software & infrastructure,Software,Companies engaged in developing and producing software designed for specialised applications for the business or consumer market. Includes enterprise and technical software. Excludes companies classified in the Home entertainment software sub-industry. Also excludes companies producing systems or database management software classified in the systems software sub-industry.
"Technology, media and telecommunications",Software & infrastructure,Technology distributors,No description
"Technology, media and telecommunications",Software & infrastructure,Technology hardware,"Manufacturers of communication equipment and products, including LANs, WANs, routers, telephones, switchboards and exchanges."
"Technology, media and telecommunications",Software & infrastructure,Technology services,"Includes technology services for various industries, including cleantech"
"Technology, media and telecommunications",Media,TV/film production & distribution,"Movies & entertainment: Companies that engage in producing and selling entertainment products and services, including companies engaged in the production, distribution and screening of movies and television shows, producers and distributors of music, entertainment theatres and professional sports teams."
"Technology, media and telecommunications",Telecoms,Wireless telecommunication services,"Providers of primarily cellular or wireless telecommunication services, including paging services."
"Travel, tourism and leisure", Transport,Airlines and miscellaneous non-rail transportation,Companies providing primarily passenger air transportation and motor coach services
"Travel, tourism and leisure", Transport,Airport services,Operators of airports and companies providing related services.
"Travel, tourism and leisure", Tourism & leisure,"Amusement parks, theme parks & race tracks","Leisure Facilities: Owners and operators of leisure facilities, including sport and fitness centres, stadiums, golf courses and amusement parks not classified in the movies & entertainment sub-industry."
"Travel, tourism and leisure", Tourism & leisure,Casinos and gaming,Owners and operators of casinos and gaming facilities. Includes companies providing lottery and betting services.
"Travel, tourism and leisure", Tourism & leisure,Cruise lines,"Hotels, resorts and cruise lines: Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere ."
"Travel, tourism and leisure", Tourism & leisure,Fitness facilities,"Leisure Facilities: Owners and operators of leisure facilities, including sport and fitness centres, stadiums, golf courses and amusement parks not classified in the movies & entertainment sub-industry."
"Travel, tourism and leisure", Tourism & leisure,Golf courses,"Leisure Facilities: Owners and operators of leisure facilities, including sport and fitness centres, stadiums, golf courses and amusement parks not classified in the movies & entertainment sub-industry."
"Travel, tourism and leisure",Hospitality,Hotels and motels,"Hotels, resorts and cruise lines: Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere ."
"Travel, tourism and leisure", Transport,Railroads,Companies providing primarily goods and passenger rail  transportation.
"Travel, tourism and leisure", Hospitality,Restaurants,"Owners and operators of restaurants, bars, pubs, fast-food or take-out facilities. Includes companies that provide food catering services."
"Travel, tourism and leisure", Tourism & leisure,Sports arenas,"Leisure Facilities: Owners and operators of leisure facilities, including sport and fitness centres, stadiums, golf courses and amusement parks not classified in the movies & entertainment sub-industry."
"Travel, tourism and leisure", Tourism & leisure,Tour operators,"Hotels, resorts and cruise lines: Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere ."
"Travel, tourism and leisure", Tourism & leisure,Travel agencies ,"Hotels, resorts and cruise lines: Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere."
"Travel, tourism and leisure", Transport,Vehicle rental and taxi companies,"Companies providing primarily people transportation, including vehicle rental and taxi companies."
